StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Parent,Initial Survey_1,Initial Survey_2,Initial Survey_3,Initial Survey_4,Debilitating_1,Debilitating_2,Debilitating_3,Debilitating_4,Debilitating_5,Enhancing_1,Enhancing_2,Enhancing_3,Enhancing_4,Enhancing_5,Subject_1,Subject_2,Subject_3,Subject_4,Open_1,Open_2,Open_3,Closing_1,Closing_2,Closing_3,Closing_4,Closing_5,Closing_6,Age,Child Age,Other Child,Education,Race,Race_7_TEXT,Gender,Gender_6_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you a parent?,"For each statement, choose the value that best represents your feelings using the scale below: - You have a certain amount of intelligence, and you really can’t do much to change it.","For each statement, choose the value that best represents your feelings using the scale below: - You can learn new things but you can’t really change how intelligent you are.","For each statement, choose the value that best represents your feelings using the scale below: - No matter how much intelligence you have, you can always change it quite a bit.","For each statement, choose the value that best represents your feelings using the scale below: - You can always greatly change how intelligent you are.","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure can lead to negative feelings, like shame or sadness, that interfere with learning.","For each statement, choose the value that best represents your feelings using the scale below: - The effects of failure can be negative.","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure can sometimes make it harder to learn new material.","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure can slow down my productivity.","For each statement, choose the value that best represents your feelings using the scale below: - Failing should usually be avoided when possible.","For each statement, choose the value that best represents your feelings using the scale below: - Sometimes you can gain quite useful lessons from failing to achieve goals.","For each statement, choose the value that best represents your feelings using the scale below: - The effects of failure can be positive.","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure sometimes helps me learn and grow.","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure can improve performance in the long run if you learn from it.","For each statement, choose the value that best represents your feelings using the scale below: - You can often use your past failures to improve in the future.","Please, rate how competent your child is in each of the following subjects using the scale below. - Math","Please, rate how competent your child is in each of the following subjects using the scale below. - Science","Please, rate how competent your child is in each of the following subjects using the scale below. - Social Science","Please, rate how competent your child is in each of the following subjects using the scale below. - English","What would you say to your child? What would you do? 

(Please respond with your immediate ‘gut’ reaction as if you were talking to the child, and then add as much detail as possible)",What would you think?,How would you feel as a parent?,"For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure enhances my performance and productivity","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure facilitates my learning and growth.","For each statement, choose the value that best represents your feelings using the scale below: - The effects of failure are positive and should be utilized.","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure debilitates my performance and productivity.","For each statement, choose the value that best represents your feelings using the scale below: - Experiencing failure inhibits my learning and growth","For each statement, choose the value that best represents your feelings using the scale below: - The effects of failure are negative and should be avoided.",How old are you?,Please indicate your child's age in years:,"If you have more than one child, please indicate your other child(ren)'s age(s) in years:",What is your highest level of education?,Please indicate your race/ethnicity (Please check all that apply.) - Selected Choice,Please indicate your race/ethnicity (Please check all that apply.) - Other - Text,Please indicate your gender identity (Please check all that apply.) - Selected Choice,Please indicate your gender identity (Please check all that apply.) - Other - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID2_2""}","{""ImportId"":""QID2_3""}","{""ImportId"":""QID2_4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID21_1""}","{""ImportId"":""QID21_2""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_7_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_6_TEXT""}"
2023-10-28 22:58:00,2023-10-28 22:58:24,Survey Preview,,100,24,True,2023-10-28 22:58:25,R_10Uf0PSG5orXqOU,,,,,37.423,-122.1639,preview,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-10-29 12:33:56,2023-10-29 12:34:50,IP Address,172.56.105.44,100,53,True,2023-10-29 12:34:50,R_2ONlEudY3t7ZlLj,,,,,47.6008,-122.3248,anonymous,EN,,3,4,3,3,4,4,4,2,3,3,3,4,5,3,4,4,3,3,,,,3,3,3,3,4,3,,,,College degree,Asian,,Woman or Female,
2023-10-29 12:47:27,2023-10-29 12:49:41,IP Address,174.195.86.250,100,134,True,2023-10-29 12:49:42,R_3irvBDMudblnw5y,,,,,37.7201,-122.4414,anonymous,EN,Yes,4,4,3,6 (strongly agree),4,5,3,1 (strongly disagree),5,4,5,4,2,2,4,5,6 (very good),3,Bbb,Vbj,Ghhhvb,3,3,3,6 (strongly agree),3,3,Nkjs,Sisisk,Isisis,College degree,Asian,,Woman or Female,
2023-10-29 12:40:50,2023-10-29 12:55:19,IP Address,12.74.53.37,100,869,True,2023-10-29 12:55:20,R_2y2BRKSVRwPl4iw,,,,,38.9816,-77.0044,anonymous,EN,No,3,4,2,2,3,5,2,2,2,6 (strongly agree),5,5,5,5,2,4,3,2,"Look over the test with her, and help her plan for the next test.","I think since it’s a new class at the start of the year, maybe she thought it would be easier.","Nothing in particular, if she plan well she will be fine in the long run.",5,4,4,2,2,2,22,0,0,College degree,Asian,,Man or Male,
2023-10-29 12:55:09,2023-10-29 12:56:14,IP Address,128.12.122.8,100,65,True,2023-10-29 12:56:15,R_1IJW4C90bofxH04,,,,,37.423,-122.1639,anonymous,EN,Yes,2,3,4,6 (strongly agree),5,4,3,4,3,3,4,4,4,4,4,4,4,4,testing answers,this is another test answer,good!,5,5,5,5,5,5,22,1,"1, 5, ",College degree,Asian,,Woman or Female,
2023-10-29 12:57:49,2023-10-29 12:59:04,IP Address,128.12.122.8,100,75,True,2023-10-29 12:59:04,R_eULYpKurWnMx0qt,,,,,37.423,-122.1639,anonymous,EN,Yes,4,4,4,4,6 (strongly agree),6 (strongly agree),4,3,5,4,3,3,3,3,5,5,5,5,"hello, I think this is fine!",that this is just a minor setback,improvement is needed,2,2,3,3,4,4,30,2,"5, 12 ",College degree,Prefer not to Answer,,Prefer not to Answer,
2023-10-29 12:59:33,2023-10-29 13:00:52,IP Address,68.65.175.30,100,79,True,2023-10-29 13:00:53,R_1r0q6IVbInqqNgI,,,,,37.423,-122.1639,anonymous,EN,Yes,2,2,4,3,4,5,5,3,2,4,6 (strongly agree),6 (strongly agree),3,3,4,3,3,6 (very good),"It’s okay! ","Next time will be better, we can prepare better","It should be fine ",5,6 (strongly agree),2,5,6 (strongly agree),5,45,12,9,College degree,Asian,,Prefer not to Answer,
2023-10-29 12:51:06,2023-10-29 13:05:27,IP Address,104.28.124.180,100,861,True,2023-10-29 13:05:28,R_vDiqtuGXRJl2gN3,,,,,37.3512,-121.8846,anonymous,EN,No,4,1 (strongly disagree),5,6 (strongly agree),4,2,2,2,1 (strongly disagree),2,6 (strongly agree),6 (strongly agree),6 (strongly agree),6 (strongly agree),3,3,4,4,I’d praise the child for their effort. I’d be glad to know they care about the subject and encourage them to see how they can improve beyond this point.,I would think they put in their best efforts.,I’d feel incredibly proud.,5,5,4,4,4,1 (strongly disagree),44,14,N/A,College degree,Asian,,Woman or Female,
